t_ms,ax,ay,az,gx,gy,gz,roll_acc,roll_filt
1980,-0.0664,-0.0043,0.9915,-0.137,0.550,-0.137,-0.25,-0.33
2000,-0.0684,-0.0040,0.9926,-0.031,0.275,-0.137,-0.23,-0.33
2020,-0.0646,-0.0042,0.9899,-0.198,0.336,-0.122,-0.24,-0.33
2040,-0.0654,-0.0043,0.9924,-0.183,0.427,-0.198,-0.25,-0.33
2060,-0.0651,-0.0042,0.9912,-0.046,0.443,-0.290,-0.24,-0.33
2080,-0.0659,-0.0028,0.9941,-0.168,0.336,-0.244,-0.16,-0.33
2100,-0.0658,-0.0023,0.9884,-0.321,-0.244,-0.198,-0.13,-0.33
2120,-0.0619,-0.0032,0.9922,-0.076,0.168,-0.244,-0.18,-0.33
2140,-0.0642,-0.0043,0.9897,-0.107,0.366,-0.198,-0.25,-0.33
2160,-0.0634,-0.0027,0.9884,-0.107,0.550,-0.214,-0.16,-0.33
2180,-0.0637,-0.0042,0.9885,-0.198,0.473,-0.290,-0.24,-0.33
2200,-0.0632,-0.0050,0.9940,-0.305,0.443,-0.198,-0.29,-0.34
2220,-0.0629,-0.0044,0.9912,-0.305,0.046,-0.153,-0.25,-0.34
2240,-0.0631,-0.0031,0.9880,-0.168,0.137,-0.214,-0.18,-0.34
2260,-0.0635,-0.0079,0.9924,-0.244,0.336,-0.031,-0.46,-0.35
2280,-0.0634,-0.0112,0.9972,-0.122,-0.214,-0.107,-0.65,-0.36
2300,-0.0627,-0.0049,0.9841,-0.183,0.534,-0.321,-0.28,-0.36
2320,-0.0643,-0.0040,0.9950,-0.260,0.824,-0.168,-0.23,-0.36
2340,-0.0684,-0.0023,0.9941,-0.382,0.336,-0.244,-0.13,-0.36
2360,-0.0688,-0.0031,0.9960,-0.397,-0.214,-0.351,-0.18,-0.37
2380,-0.0630,-0.0020,0.9912,-0.427,-0.412,-0.092,-0.11,-0.37
2400,-0.0647,-0.0055,0.9857,-0.244,0.153,-0.153,-0.32,-0.37
2420,-0.0631,-0.0033,0.9884,-0.168,0.733,-0.290,-0.19,-0.37
2440,-0.0676,-0.0026,0.9945,-0.198,0.489,-0.198,-0.15,-0.37
2460,-0.0653,-0.0046,0.9937,-0.229,0.122,-0.153,-0.27,-0.38
2480,-0.0605,-0.0029,0.9886,-0.382,0.260,-0.214,-0.17,-0.38
2500,-0.0626,-0.0043,0.9908,-0.382,0.443,-0.061,-0.25,-0.38
2520,-0.0645,-0.0043,0.9905,-0.122,0.366,-0.198,-0.25,-0.38
2540,-0.0608,-0.0048,0.9910,-0.076,0.137,-0.244,-0.28,-0.38
2561,-0.0615,-0.0054,0.9924,-0.168,0.336,-0.214,-0.31,-0.38
2580,-0.0635,-0.0067,0.9929,-0.122,0.443,-0.153,-0.39,-0.39
2600,-0.0658,-0.0043,1.0001,-0.229,-0.107,-0.305,-0.24,-0.39
2620,-0.0574,0.0020,0.9969,-0.580,-0.779,0.092,0.11,-0.39
2640,-0.0574,0.0001,0.9899,-1.221,-0.244,0.748,0.01,-0.41
2660,-0.0618,0.0046,1.0005,-1.344,-0.305,1.618,0.27,-0.42
2680,-0.0623,0.0049,1.0148,-2.687,-1.023,2.779,0.28,-0.46
2700,-0.0696,-0.0018,1.0172,-5.954,-0.656,2.595,-0.10,-0.57
2720,-0.0597,-0.0007,1.0278,-11.359,1.053,1.542,-0.04,-0.78
2759,-0.0598,-0.0110,1.0011,-16.397,2.427,2.870,-0.63,-1.10
2763,-0.0648,-0.0121,1.0028,-16.611,2.321,2.992,-0.69,-1.42
2780,-0.0641,-0.0291,1.0183,-17.817,0.840,3.023,-1.63,-1.77
2800,-0.0441,-0.0350,1.0157,-18.855,-1.450,3.618,-1.98,-2.14
